episode,season,title,file_name,link
E01,S01,Mole Hunt,S01_E01_Mole_Hunt,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1539157
E02,S01,Training Day,S01_E02_Training_Day,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1570118
E03,S01,Diversity Hire,S01_E03_Diversity_Hire,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1577177
E04,S01,Killing Utne,S01_E04_Killing_Utne,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1577178
E05,S01,Honeypot,S01_E05_Honeypot,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1598645
E06,S01,Skorpio,S01_E06_Skorpio,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1577179
E07,S01,Skytanic,S01_E07_Skytanic,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1564607
E08,S01,The Rock,S01_E08_The_Rock,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1613217
E09,S01,Job Offer,S01_E09_Job_Offer,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1613216
E10,S01,Dial M for Mother,S01_E10_Dial_M_for_Mother,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1622042
E01,S02,Swiss Miss,S02_E01_Swiss_Miss,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1824276
E02,S02,A Going Concern,S02_E02_A_Going_Concern,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1833264
E03,S02,Blood Test,S02_E03_Blood_Test,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1841013
E04,S02,Pipeline Fever,S02_E04_Pipeline_Fever,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1845938
E05,S02,The Double Deuce,S02_E05_The_Double_Deuce,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1849255
E06,S02,Tragical History,S02_E06_Tragical_History,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1856799
E07,S02,Movie Star,S02_E07_Movie_Star,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-1862529
